"Name","Quantity","Avg Price","Last Traded","Investment","Current Value","P&L","P&L %"
" SPR Auto Technologies",1,"2,704.00","4,181.90","2,704.00","4,181.90","1,477.90","54.66%"
"Acutaas Chemicals",1,"2,732.90","3,248.70","2,732.90","3,248.70","515.80","18.87%"
"Anant Raj",13,"603.70","589.70","7,848.05","7,666.10","-181.95","-2.32%"
"Anthem Biosciences",26,"570.00","772.05","14,820.00","20,073.30","5,253.30","35.45%"
"Ashok Leyland",10,"174.40","151.11","1,744.00","1,511.10","-232.90","-13.35%"
"Awfis Space Solutions",5,"522.95","273.55","2,614.75","1,367.75","-1,247.00","-47.69%"
"Azad Engineering",1,"2,381.80","2,416.90","2,381.80","2,416.90","35.10","1.47%"
"BSE",4,"2,133.43","3,555.30","8,533.70","14,221.20","5,687.50","66.65%"
"Bank of Baroda",10,"271.10","245.70","2,711.00","2,457.00","-254.00","-9.37%"
"Bharat Electronics",10,"397.15","404.65","3,971.50","4,046.50","75.00","1.89%"
"Bharat Petroleum",5,"304.70","309.90","1,523.50","1,549.50","26.00","1.71%"
"CDSL",2,"1,604.80","1,336.00","3,209.60","2,672.00","-537.60","-16.75%"
"CG Power & Industrial Solutions",1,"904.45","890.30","904.45","890.30","-14.15","-1.56%"
"Canara Bank",20,"128.21","125.92","2,564.20","2,518.40","-45.80","-1.79%"
"Canara Robeco Asset Management Company",56,"266.00","262.40","14,896.00","14,694.40","-201.60","-1.35%"
"Coforge",2,"1,703.10","1,461.10","3,406.20","2,922.20","-484.00","-14.21%"
"Crompton Greaves",10,"253.35","249.40","2,533.50","2,494.00","-39.50","-1.56%"
"Deepak Nitrite",3,"1,561.70","1,657.30","4,685.10","4,971.90","286.80","6.12%"
"Devyani International",14,"144.84","108.36","2,027.76","1,517.04","-510.72","-25.19%"
"EPack Prefab Technologies",73,"204.00","245.60","14,892.00","17,928.80","3,036.80","20.39%"
"Ellenbarrie Industrial Gases",10,"179.19","282.55","1,791.90","2,825.50","1,033.60","57.68%"
"Emmvee Photovoltaic Power",69,"217.00","328.15","14,973.00","22,642.35","7,669.35","51.22%"
"Enviro Infra Engineers",10,"202.00","218.75","2,019.99","2,187.50","167.51","8.29%"
"Eternal",10,"212.75","280.80","2,127.50","2,808.00","680.50","31.99%"
"Fortis Healthcare",3,"895.90","940.90","2,687.70","2,822.70","135.00","5.02%"
"Fractal Analytics",16,"900.00","812.35","14,400.00","12,997.60","-1,402.40","-9.74%"
"Gem Aromatics",46,"325.00","179.00","14,950.00","8,234.00","-6,716.00","-44.92%"
"Gravita India",1,"2,297.05","1,772.90","2,297.05","1,772.90","-524.15","-22.82%"
