symbol,name,sector,industry
360ONE,360 ONE WAM Ltd.,Financial Services,Financial Services
3MINDIA,3M India Ltd.,Diversified,Diversified
ABB,ABB India Ltd.,Capital Goods,Capital Goods
ACC,ACC Ltd.,Construction Materials,Construction Materials
ACMESOLAR,ACME Solar Holdings Ltd.,Power,Power
AIAENG,AIA Engineering Ltd.,Capital Goods,Capital Goods
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,Capital Goods
AUBANK,AU Small Finance Bank Ltd.,Financial Services,Financial Services
AWL,AWL Agri Business Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,Financial Services
AARTIIND,Aarti Industries Ltd.,Chemicals,Chemicals
AAVAS,Aavas Financiers Ltd.,Financial Services,Financial Services
ABBOTINDIA,Abbott India Ltd.,Healthcare,Healthcare
ACE,Action Construction Equipment Ltd.,Capital Goods,Capital Goods
ADANIENSOL,Adani Energy Solutions Ltd.,Power,Power
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,Metals & Mining
ADANIGREEN,Adani Green Energy Ltd.,Power,Power
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,Services
ADANIPOWER,Adani Power Ltd.,Power,Power
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,Financial Services
ABFRL,Aditya Birla Fashion and Retail Ltd.,Consumer Services,Consumer Services
ABLBL,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,Consumer Services
ABREL,Aditya Birla Real Estate Ltd.,Forest Materials,Forest Materials
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Financial Services,Financial Services
AEGISLOG,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels
AEGISVOPAK,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels
AFCONS,Afcons Infrastructure Ltd.,Construction,Construction
AFFLE,Affle 3i Ltd.,Information Technology,Information Technology
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare,Healthcare
AKUMS,Akums Drugs and Pharmaceuticals Ltd.,Healthcare,Healthcare
AKZOINDIA,Akzo Nobel India Ltd.,Consumer Durables,Consumer Durables
APLLTD,Alembic Pharmaceuticals Ltd.,Healthcare,Healthcare
ALKEM,Alkem Laboratories Ltd.,Healthcare,Healthcare
ALKYLAMINE,Alkyl Amines Chemicals Ltd.,Chemicals,Chemicals
ALOKINDS,Alok Industries Ltd.,Textiles,Textiles
ARE&M,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,Automobile and Auto Components
AMBER,Amber Enterprises India Ltd.,Consumer Durables,Consumer Durables
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,Construction Materials
ANANDRATHI,Anand Rathi Wealth Ltd.,Financial Services,Financial Services
ANANTRAJ,Anant Raj Ltd.,Realty,Realty
ANGELONE,Angel One Ltd.,Financial Services,Financial Services
APARINDS,Apar Industries Ltd.,Capital Goods,Capital Goods
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,Healthcare
APOLLOTYRE,Apollo Tyres Ltd.,Automobile and Auto Components,Automobile and Auto Components
APTUS,Aptus Value Housing Finance India Ltd.,Financial Services,Financial Services
ASAHIINDIA,Asahi India Glass Ltd.,Automobile and Auto Components,Automobile and Auto Components
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods,Capital Goods
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,Consumer Durables
ASTERDM,Aster DM Healthcare Ltd.,Healthcare,Healthcare
ASTRAZEN,AstraZenca Pharma India Ltd.,Healthcare,Healthcare
ASTRAL,Astral Ltd.,Capital Goods,Capital Goods
ATHERENERG,Ather Energy Ltd.,Automobile and Auto Components,Automobile and Auto Components
ATUL,Atul Ltd.,Chemicals,Chemicals
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,Healthcare
AIIL,Authum Investment & Infrastructure Ltd.,Financial Services,Financial Services
DMART,Avenue Supermarts Ltd.,Consumer Services,Consumer Services
AXISBANK,Axis Bank Ltd.,Financial Services,Financial Services
BASF,BASF India Ltd.,Chemicals,Chemicals
BEML,BEML Ltd.,Capital Goods,Capital Goods
BLS,BLS International Services Ltd.,Consumer Services,Consumer Services
BSE,BSE Ltd.,Financial Services,Financial Services
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,Automobile and Auto Components
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,Financial Services
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,Financial Services
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services,Financial Services
BAJAJHFL,Bajaj Housing Finance Ltd.,Financial Services,Financial Services
BALKRISIND,Balkrishna Industries Ltd.,Automobile and Auto Components,Automobile and Auto Components
BALRAMCHIN,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods
BANDHANBNK,Bandhan Bank Ltd.,Financial Services,Financial Services
BANKBARODA,Bank of Baroda,Financial Services,Financial Services
BANKINDIA,Bank of India,Financial Services,Financial Services
MAHABANK,Bank of Maharashtra,Financial Services,Financial Services
BATAINDIA,Bata India Ltd.,Consumer Durables,Consumer Durables
BAYERCROP,Bayer Cropscience Ltd.,Chemicals,Chemicals
BERGEPAINT,Berger Paints India Ltd.,Consumer Durables,Consumer Durables
BDL,Bharat Dynamics Ltd.,Capital Goods,Capital Goods
BEL,Bharat Electronics Ltd.,Capital Goods,Capital Goods
BHARATFORG,Bharat Forge Ltd.,Automobile and Auto Components,Automobile and Auto Components
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,Capital Goods
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication,Telecommunication
BHARTIHEXA,Bharti Hexacom Ltd.,Telecommunication,Telecommunication
BIKAJI,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods
BIOCON,Biocon Ltd.,Healthcare,Healthcare
BSOFT,Birlasoft Ltd.,Information Technology,Information Technology
BLUEDART,Blue Dart Express Ltd.,Services,Services
BLUEJET,Blue Jet Healthcare Ltd.,Healthcare,Healthcare
BLUESTARCO,Blue Star Ltd.,Consumer Durables,Consumer Durables
BBTC,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,Automobile and Auto Components
FIRSTCRY,Brainbees Solutions Ltd.,Consumer Services,Consumer Services
BRIGADE,Brigade Enterprises Ltd.,Realty,Realty
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods
MAPMYINDIA,C.E. Info Systems Ltd.,Information Technology,Information Technology
CCL,CCL Products (I) Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods
CESC,CESC Ltd.,Power,Power
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,Capital Goods
CRISIL,CRISIL Ltd.,Financial Services,Financial Services
CAMPUS,Campus Activewear Ltd.,Consumer Durables,Consumer Durables
CANFINHOME,Can Fin Homes Ltd.,Financial Services,Financial Services
CANBK,Canara Bank,Financial Services,Financial Services
CAPLIPOINT,Caplin Point Laboratories Ltd.,Healthcare,Healthcare
CGCL,Capri Global Capital Ltd.,Financial Services,Financial Services
CARBORUNIV,Carborundum Universal Ltd.,Capital Goods,Capital Goods
CASTROLIND,Castrol India Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels
CEATLTD,Ceat Ltd.,Automobile and Auto Components,Automobile and Auto Components
CENTRALBK,Central Bank of India,Financial Services,Financial Services
CDSL,Central Depository Services (India) Ltd.,Financial Services,Financial Services
CENTURYPLY,Century Plyboards (India) Ltd.,Consumer Durables,Consumer Durables
CERA,Cera Sanitaryware Ltd,Consumer Durables,Consumer Durables
CHALET,Chalet Hotels Ltd.,Consumer Services,Consumer Services
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,Chemicals,Chemicals
